description_norm,n_occurrences,n_years,first_year,last_year,sample_text,first_era
ad festum d j bapt stipendium,2,2,1784,1785,ad festum D.J. Bapt. Stipendium,industrial_1760_1840
ad festum d michaelis,2,2,1776,1777,Ad festum D. Michaelis,industrial_1760_1840
ad festum natal,2,2,1779,1780,Ad Festum Natal:,industrial_1760_1840
ad festum natio,2,2,1778,1779,Ad festum Natio.,industrial_1760_1840
ad festum nativ,2,2,1773,1774,Ad Festum Nativ:,industrial_1760_1840
ad gestum annue,2,2,1776,1777,ad Gestum Annue:,industrial_1760_1840
ad gestuna natio,2,2,1776,1777,ad Gestuna Natio:,industrial_1760_1840
ad grest mic,2,2,1776,1777,ad Grest mic,industrial_1760_1840
ad sost d g bapt,2,2,1776,1777,ad Sost: D.g. Bapt:,industrial_1760_1840
ad stip ad fest d i b et officiariis,2,2,1797,1798,Ad Stip. ad Fest. D.I.B. et Officiariis,industrial_1760_1840
ad test nativitatis,2,2,1772,1773,Ad Test: Nativitatis,industrial_1760_1840
addendum solutis variis ut supra,2,2,1793,1794,"Addendum Solutis variis, ut Supra.",industrial_1760_1840
affgt annue,2,2,1788,1789,Affgt. annue.,industrial_1760_1840
affgt d j b,2,2,1788,1789,Affgt. D. J. B.,industrial_1760_1840
agt,2,2,1788,1789,Agt.,industrial_1760_1840
allowed a years land tax at 3 7,2,2,1769,1770,Allowed a years Land Tax at 3£/7ᵈ,industrial_1760_1840
am recepta,2,2,1790,1791,Am. Recepta,industrial_1760_1840
amaravagia recepta,2,2,1775,1776,Amaravagia recepta,industrial_1760_1840
amcasagia recepta,2,2,1785,1786,Amcasagia recepta,industrial_1760_1840
an account of the iveston estate held by rob harting from midr 1781 to mich 1782,2,2,1782,1783,An Account of the Iveston Estate held by Rob. Harting from Midr: 1781 to Mich: 1782.,industrial_1760_1840
an account of the merton estate lately held by mr jackson from mic 1778 to mic 1779,2,2,1779,1780,An account of the Merton Estate lately held by mr Jackson from Mic 1778 to Mic 1779,industrial_1760_1840
anararagia recipienda,2,2,1776,1777,Anararagia recipienda,industrial_1760_1840
ancaragia recipienda a 2o die novr 1771,2,2,1770,1771,Ancaragia recipienda a 2o die Novr. 1771.,industrial_1760_1840
ancragia recipienda,2,2,1790,1791,Ancragia recipienda,industrial_1760_1840
anghus,2,2,1721,1722,Anghus,pre_1760
anni praecedentis,2,2,1797,1798,Anni praecedentis,industrial_1760_1840
anni presentis,2,2,1797,1798,Anni presentis,industrial_1760_1840
annuagia recipienda,2,2,1785,1786,Annuagia recipienda,industrial_1760_1840
annuagia recipienda 1788,2,2,1787,1788,Annuagia recipienda 1788.,industrial_1760_1840
annuagia recipienda a 2do die novr 1786,2,2,1785,1786,Annuagia recipienda a 2do die Novr 1786.,industrial_1760_1840
annuagia recipienda novr 2 1785,2,2,1784,1785,Annuagia recipienda Novr.2. 1785.,industrial_1760_1840
annuaragia recepta,2,2,1784,1785,Annuaragia recepta.,industrial_1760_1840
annuaragia recipienda a dno noris 1772 cont,2,2,1771,1772,Annuaragia recipienda a Dno Noris 1772. cont.,industrial_1760_1840
annuaria recepta,2,2,1793,1794,Annuaria recepta,industrial_1760_1840
annuaria recepta pr ten,2,2,1793,1794,Annuaria recepta pr Ten,industrial_1760_1840
ano dni et socij,2,2,1721,1722,Ano Dni et Socij,pre_1760
ansaragia recipienda a 2do die novr 1772,2,2,1771,1772,Ansaragia recipienda a 2do die Novr 1772,industrial_1760_1840
arch 30 mr robt hartin s acct for merton estate 1793 down to mic 1792 for a year,2,2,1792,1793,(arch 30) Mr. Robt. Hartin's Acct. for Merton Estate 1793) down to Mic-1792 for a year,industrial_1760_1840
arr reditum in pecunia,2,2,1787,1788,Arr. reditum in pecunia,industrial_1760_1840
arrearaga recepta,2,2,1815,1817,Arrearaga recepta,industrial_1760_1840
arrearages receipted,2,2,1774,1775,Arrearages receipted,industrial_1760_1840
arrearages recipienda 1789,2,2,1788,1789,Arrearages recipienda 1789.,industrial_1760_1840
arrearagia 1788,2,2,1787,1788,Arrearagia 1788,industrial_1760_1840
arrearagia a 2 d die nov 1781 ad eundem diem nov 1782,2,2,1781,1782,Arrearagia a 2^d Die Nov. 1781 ad eundem diem Nov. 1782.,industrial_1760_1840
arrearagia anni 1776,2,2,1775,1776,Arrearagia anni 1776,industrial_1760_1840
arrearagia continued,2,2,1802,1803,"Arrearagia, continued",industrial_1760_1840
arrearagia mspe ad fest micr 1792,2,2,1792,1793,Arrearagia mspe ad fest. Micr. 1792,industrial_1760_1840
arrearagia pro sew parva,2,2,1790,1791,Arrearagia pro Sew parva,industrial_1760_1840
arrearagia pro tour parva,2,2,1793,1794,Arrearagia pro Tour parva,industrial_1760_1840
arrearagia recepta contin,2,2,1774,1775,Arrearagia recepta contin:,industrial_1760_1840
arrearagia receptos,2,2,1779,1780,Arrearagia receptos,industrial_1760_1840
arrearagia recipienda 2do die novr 1794,2,2,1793,1794,Arrearagia recipienda 2do die Novr. 1794.,industrial_1760_1840
arrearagia recipienda a 2 die novr 1774,2,2,1773,1774,Arrearagia recipienda a 2º Die Novr 1774,industrial_1760_1840
arrearagia recipienda a 2do die novemb 1783,2,2,1782,1783,Arrearagia recipienda a 2do die Novemb: 1783,industrial_1760_1840
arrearagia recipienda a 2do die novembris 1787,2,2,1786,1787,Arrearagia recipienda a 2do die Novembris 1787,industrial_1760_1840
arrearagia recipienda a 2o die novis 1773,2,2,1773,1774,Arrearagia recipienda a 2o Die Novis 1773,industrial_1760_1840
arrearagia recipienda a die 2do novembris 1768,2,2,1767,1768,Arrearagia recipienda a die 2do Novembris 1768,industrial_1760_1840
arrearagia recipienda contin a 2 do die,2,2,1773,1774,Arrearagia recipienda contin: a 2.do Die,industrial_1760_1840
arrearagia recipienda nov 2 1759,2,2,1759,1760,Arrearagia recipienda Nov: 2. 1759,pre_1760
arrearagia recipiunda a die 2o novr 1769,2,2,1767,1768,Arrearagia recipiunda a die 2o Novr 1769,industrial_1760_1840
arrearagia reditum in pecun,2,2,1789,1790,Arrearagia reditum in pecun.,industrial_1760_1840
arrearagias recepta,2,2,1759,1760,Arrearagias recepta,pre_1760
arrearagie recipienda,2,2,1776,1777,Arrearagie recipienda,industrial_1760_1840
arrearagra recepta,2,2,1780,1781,arrearagra recepta.,industrial_1760_1840
arrearaja recipienda a 2d dec nov 1775,2,2,1774,1775,Arrearaja recipienda a 2d. dec Nov: 1775,industrial_1760_1840
arreargia reciepnda novr 2 1760,2,2,1759,1760,Arreargia reciepnda Novr. 2. 1760.,pre_1760
att fol net,2,2,1788,1789,Att. fol. Net.,industrial_1760_1840
auditor,2,2,1884,1894,Auditor,post_1840
august,2,2,1789,1790,August,industrial_1760_1840
back gate,2,2,1739,1746,Back Gate,pre_1760
backgate,2,2,1701,1710,Backgate {,pre_1760
badger,2,2,1867,1873,Badger,post_1840
balance due by the college,2,2,1884,1895,Balance due by the College:,post_1840
banker s receipts,2,2,1792,1793,Banker's Receipts,industrial_1760_1840
batts and increments,2,2,1704,1706,Batts and Increments,pre_1760
benji kennicott a m,2,2,1759,1760,Benji Kennicott A.M.,pre_1760
benjinston,2,2,1721,1722,Benjinston,pre_1760
bracher,2,2,1866,1867,Bracher.,post_1840
braine,2,2,1866,1867,Braine,post_1840
brot over,2,2,1824,1826,Brot over ---,industrial_1760_1840
brought over from former page,2,2,1780,1781,Brought over from former Page.,industrial_1760_1840
bucknawin,2,2,1721,1722,Bucknawin,pre_1760
bull hever wrote in the com book for 1763 in 1769,2,2,1767,1768,Bull Hever wrote in the Com Book for 1763 in 1769.,industrial_1760_1840
burfary impenf coll et rector domus,2,2,1721,1722,Burfary & Impenfæ Coll. Et Rector Domus,pre_1760
c t morgan a m,2,2,1770,1771,C.T. Morgan A.M.,industrial_1760_1840
c w boase fellow,2,2,1879,1880,C. W. Boase. Fellow.,post_1840
calcot,2,2,1721,1722,Calcot,pre_1760
calcott,2,2,1708,1711,Calcott,pre_1760
candlemas augm,2,2,1771,1772,Candlemas Augm:,industrial_1760_1840
candles,2,2,1701,1702,Candles,pre_1760
carolum webber bur junr,2,2,1759,1760,Carolum Webber Bur: Junr,pre_1760
carter exhibition,2,2,1883,1884,Carter Exhibition,post_1840
civitate oxon,2,2,1856,1861,Civitate Oxon.,post_1840
cliffton ferry,2,2,1721,1722,Cliffton Ferry,pre_1760
co bankers in london 1796,2,2,1795,1796,& Co. Bankers in London 1796,industrial_1760_1840
co bankers london,2,2,1799,1800,"& Co. Bankers, London",industrial_1760_1840
college gardeners,2,2,1845,1846,College Gardeners,post_1840
collegii exoniensis rectoris a secundo die novembris a d 1799 ad eundem diem revolutum a d 1800,2,2,1799,1800,"Collegii Exoniensis Rectoris, a secundo die Novembris A.D.1799. ad eundem diem revolutum A.D.1800.",industrial_1760_1840
com r library,2,2,1721,1722,Com'r Library,pre_1760
compotus thoma hixton rectoris a 2do die novis 1790 ad eundem diem revolutum 1791,2,2,1790,1791,"Compotus Thoma Hixton, Rectoris, a 2do die Novis 1790 ad eundem diem revolutum 1791.",industrial_1760_1840
comptus comprobatos per nos,2,2,1785,1786,Comptus comprobatos per nos,industrial_1760_1840
comptus rectoris pro currendo de nov 1773,2,2,1773,1774,Comptus. Rectoris pro currendo de Nov. 1773,industrial_1760_1840
computat math hole rectory a secundo die novembris 1720 ad eundem diem revolutum 1721,2,2,1721,1722,Computat Math Hole Rectory a secundo Die Novembris 1720 ad eundem diem revolutum 1721.,pre_1760
computus comparabatur per nos pr sentes,2,2,1770,1771,Computus comparabatur per nos præsentes,industrial_1760_1840
computus comprobatat per nos,2,2,1776,1777,Computus comprobatat per nos,industrial_1760_1840
computus comprobatur die 2 novembris 1787 p er nos,2,2,1786,1787,Computus comprobatur die 2. Novembris 1787 p[er] Nos,industrial_1760_1840
computus comprobatus per hos hoc die 2 novembris 1792,2,2,1791,1792,Computus comprobatus per hos hoc die 2 Novembris 1792.,industrial_1760_1840
computus comprobatus per nos 2die novembris 1784,2,2,1783,1784,Computus comprobatus per Nos 2die Novembris 1784,industrial_1760_1840
computus comprobatus per nos hoc 2do die novris 1795,2,2,1794,1795,Computus comprobatus per nos hoc 2do die Novris 1795,industrial_1760_1840
computus comprobatus per nos hoc die,2,2,1792,1793,computus comprobatus per nos hoc die,industrial_1760_1840
computus comprobatus per nos hoc die 3 nov 1794,2,2,1793,1794,Computus comprobatus per nos hoc die 3° Nov. 1794,industrial_1760_1840
computus comprobatus per nos hoc nov 2d 1789,2,2,1788,1789,Computus comprobatus per nos hoc Nov: 2d. 1789.,industrial_1760_1840
computus comprobatus per nos praesentes,2,2,1767,1768,Computus comprobatus per nos Praesentes,industrial_1760_1840
computus comprobatus per nos presentes,2,2,1771,1772,Computus comprobatus per nos presentes,industrial_1760_1840
computus comprobatus per nos pro 2do die novembris 1782,2,2,1781,1782,Computus comprobatus per nos pro 2do die Novembris 1782,industrial_1760_1840
computus comprobatus per nos pro 2do die novembris 1783,2,2,1782,1783,Computus comprobatus per Nos pro 2do Die Novembris 1783,industrial_1760_1840
computus comprobatus per nos pro 2do die novembris 1785,2,2,1780,1781,Computus comprobatus per Nos pro 2do Die Novembris 1785,industrial_1760_1840
computus dni rectoris s l richards,2,2,1838,1844,Computus Dni. Rectoris S. L. Richards,industrial_1760_1840
computus domini rectoris a secundo die novembris 1781 ad eundem diem revolutum 1782,2,2,1781,1782,"Computus Domini Rectoris a Secundo die Novembris 1781, ad eundem diem revolutum 1782.",industrial_1760_1840
computus francisci webber rectoris,2,2,1750,1751,Computus Francisci Webber Rectoris,pre_1760
computus francisci webber rectoris a 2do die,2,2,1756,1765,Computus Francisci Webber Rectoris a 2do Die,pre_1760
computus francisci webber rectoris a 2do die novembris 1767 ad eundem diem revolutum 1768,2,2,1767,1768,Computus Francisci Webber Rectoris a 2do Die Novembris 1767 ad eundem Diem revolutum 1768.,industrial_1760_1840
computus francisci webber rectoris a secunda die novembris 1758 ad annum diem novembrum 1759,2,2,1759,1760,Computus Francisci Webber Rectoris a Secunda Die novembris 1758 ad annum diem novembrum 1759,pre_1760
computus henrici richards collegii exoniensis rectoris a 2do die novembris 1797 ad eundem diem revolutum 1798,2,2,1797,1798,"Computus Henrici Richards Collegii Exoniensis, Rectoris a 2do die Novembris 1797. ad eundem diem revolutum 1798.",industrial_1760_1840
computus henrici richards collegii exoniensis rectoris pro seipso et pro dno dre stinton defuncto a 2do die novembris 1796 ad eundem diem revolutum 1797,2,2,1796,1797,"Computus Henrici Richards Collegii Exoniensis Rectoris, pro seipso et pro Dno Dre Stinton defuncto, a 2do die Novembris 1796, ad eundem diem revolutum 1797.",industrial_1760_1840
computus pretoris pro 2 do die nov s,2,2,1771,1772,Computus Pretoris pro 2^do die Nov^s,industrial_1760_1840
computus rectori a 2do die novembrj 1769,2,2,1769,1770,Computus Rectori a 2do Die Novembrj 1769,industrial_1760_1840
computus rectoris a 2 die novem bris 1770 ad eundem diem revolutum 1771,2,2,1770,1771,"Computus Rectoris a 2º die Novem: bris, 1770 ad eundem diem revolutum 1771.",industrial_1760_1840
computus rectoris a 2 die novembris,2,2,1767,1768,Computus Rectoris a 2º die Novembris,industrial_1760_1840
computus rectoris a 2do die nov s ad 1789,2,2,1789,1790,Computus Rectoris a 2do die Nov:s AD: 1789,industrial_1760_1840
computus rectoris a 2do die novembris 1777,2,2,1776,1777,Computus Rectoris a 2do Die Novembris 1777,industrial_1760_1840
computus rectoris a 2do die novris 1784,2,2,1784,1785,"Computus Rectoris, a 2do die Novris 1784",industrial_1760_1840
computus thom bray rectoris,2,2,1778,1779,Computus Thomæ Bray Rectoris,industrial_1760_1840
computus thom braz rectoris,2,2,1780,1781,"Computus Thomæ Braz, Rectoris.",industrial_1760_1840
computus thoma bray rectoris pro 2do,2,2,1775,1776,"Computus Thoma Bray, Rectoris pro 2do",industrial_1760_1840
computus thoma hinton rectoris a 2d die novr 1788 ad eundem diem resolutum 1789,2,2,1788,1789,"Computus Thoma Hinton, Rectoris, a 2d. die Novr. 1788 ad eundem diem resolutum 1789.",industrial_1760_1840
computus thoma stinton rectoris a secundo die nov ris a d 1794 ad eundem diem revolutum 1795,2,2,1794,1795,"Computus Thoma Stinton, Rectoris, a secundo die Nov:ris A.D. 1794, ad eundem diem revolutum 1795.",industrial_1760_1840
computus thomae bray rectoris a 2do die,2,2,1779,1780,Computus Thomae Bray Rectoris a 2do Die,industrial_1760_1840
computus thomae shirton rectoris,2,2,1792,1793,"Computus Thomae Shirton, Rectoris,",industrial_1760_1840
computus thomae stinton rectoris,2,2,1791,1792,"Computus Thomae Stinton, Rectoris,",industrial_1760_1840
computus thomae stinton rectoris a 2 do die novi r 1785 ad eundem diem revolutum anno 1786,2,2,1785,1786,"Computus Thomae Stinton, Rectoris, a 2^do die Novi^r 1785 ad eundem diem revolutum, Anno 1786.",industrial_1760_1840
computus thomas bray rectoris,2,2,1776,1777,"Computus Thomas Bray, Rectoris,",industrial_1760_1840
computus thomas bray rectoris a 2do die novembris 1702 ad eundem diem revolutum 1703,2,2,1782,1783,Computus Thomas Bray Rectoris a 2do die Novembris 1702 ad eundem diem revolutum 1703.,industrial_1760_1840
computus thomas stinton coll exon rectoris a 2do novr is 1795 ad eundem diem revolution 1796,2,2,1795,1796,Computus Thomas Stinton Coll. Exon. Rectoris a 2do Novr is 1795 ad eundem diem revolution 1796,industrial_1760_1840
corn c rents variable,2,2,1799,1800,"Corn &c Rents, variable",industrial_1760_1840
cudlington hills,2,2,1721,1722,Cudlington Hills,pre_1760
d,2,2,1770,1771,£ ✓ D,industrial_1760_1840
dan osborn,2,2,1705,1708,Dan: Osborn,pre_1760
de reditibus frument,2,2,1790,1791,De reditibus frument.,industrial_1760_1840
deb anni praeced,2,2,1767,1768,Deb. Anni Praeced.,industrial_1760_1840
debita anni praecedentis,2,2,1833,1836,Debita Anni praecedentis,industrial_1760_1840
dec r,2,2,1785,1786,Dec'r:,industrial_1760_1840
deductions allowed,2,2,1788,1789,Deductions allowed,industrial_1760_1840
deductions due to mr martin,2,2,1791,1792,deductions due to Mr Martin,industrial_1760_1840
die 2do novem 1786,2,2,1785,1786,die 2do Novem. 1786.,industrial_1760_1840
die novembris 1775 ad eundem diem,2,2,1775,1776,die Novembris 1775 ad eundem Diem,industrial_1760_1840
diem resolutum nov 2d,2,2,1759,1760,Diem resolutum Nov. 2d,pre_1760
diem revolutum 1773,2,2,1772,1773,Diem revolutum 1773,industrial_1760_1840
diem revolutum 1775,2,2,1774,1775,diem revolutum 1775.,industrial_1760_1840
diem revolutum 1779,2,2,1778,1779,diem revolutum 1779.,industrial_1760_1840
diem revolutum 1781,2,2,1780,1781,Diem revolutum 1781. -,industrial_1760_1840
dividends and interest,2,2,1889,1893,Dividends and Interest.,post_1840
dividends interest,2,2,1896,1897,Dividends & Interest.,post_1840
dno rectori et sociis,2,2,1733,1734,Dno Rectori et Sociis,pre_1760
dno rectori schol officiariis,2,2,1809,1810,"Dno Rectori, Schol. & Officiariis",industrial_1760_1840
dno rectori scholar officiariis,2,2,1813,1815,"Dno Rectori, Scholar. & Officiariis",industrial_1760_1840
dno rectori scholaribus officiariis,2,2,1839,1841,Dno. Rectori. Scholaribus & Officiariis,industrial_1760_1840
dno rr et focy s,2,2,1721,1722,Dno Rr. et Focy's,pre_1760
do rector scholers officiaris,2,2,1759,1760,Do Rector Scholers & Officiaris,pre_1760
doc anni propentij,2,2,1721,1722,Doc Anni propentij,pre_1760
dwittenham rect v recepta varia,2,2,1791,1792,Dwittenham Rect. V. recepta varia,industrial_1760_1840
e hammond bursar,2,2,1871,1872,E Hammond - Bursar,post_1840
engr may,2,2,1759,1760,Engr. May,pre_1760
examined and allowed by us,2,2,1870,1871,Examined and allowed by us,post_1840
exchequer annuity,2,2,1779,1780,Exchequer Annuity,industrial_1760_1840
expence of the leases,2,2,1767,1768,— Expence of the Leases,industrial_1760_1840
feby,2,2,1788,1789,Feby.,industrial_1760_1840
fest mic,2,2,1779,1780,Fest: Mic,industrial_1760_1840
fest nat,2,2,1761,1762,Fest: Nat:,industrial_1760_1840
festi d j b,2,2,1771,1772,Festi. D. J. B.,industrial_1760_1840
few parva red non frument,2,2,1790,1791,Few parva red. non frument.,industrial_1760_1840
fines to mr le britton,2,2,1703,1706,Fines to Mr Le Britton,pre_1760
for the year from mich 1772 mich 1774,2,2,1773,1774,for the year from Mich. 1772 & Mich. 1774,industrial_1760_1840
fra upton subrectorem,2,2,1772,1773,Fra. Upton Subrectorem,industrial_1760_1840
fran upton s t b,2,2,1767,1768,Fran. Upton S.T.B.,industrial_1760_1840
fran upton sub redevem,2,2,1770,1771,Fran: Upton sub. redevem,industrial_1760_1840
fran upton subrector,2,2,1771,1772,Fran Upton Subrector.,industrial_1760_1840
fran upton vicar sec r,2,2,1774,1775,Fran Upton Vicar(?) Sec(r?),industrial_1760_1840
franciscum upton decanum,2,2,1759,1760,Franciscum Upton Decanum,pre_1760
franciscus webber subrector,2,2,1737,1744,Franciscus Webber SubRector.,pre_1760
frodenham offices,2,2,1721,1722,Frodenham Offices,pre_1760
from ladyday 1768 to ladyday 69,2,2,1769,1770,from Ladyday 1768. To Ladyday -69.,industrial_1760_1840
from mic 1777 to mic 1778,2,2,1778,1779,from Mic. 1777 to Mic. 1778.,industrial_1760_1840
from michaelmas 1784 to michaelmas 1785,2,2,1785,1786,from Michaelmas 1784 to Michaelmas 1785.,industrial_1760_1840
gardiner kester s,2,2,1771,1772,Gardiner (Kester's),industrial_1760_1840
gen ll com s,2,2,1721,1722,Gen'll. Com's,pre_1760
gent com,2,2,1721,1722,Gent. Com.,pre_1760
gent comoners,2,2,1702,1708,Gent comoners,pre_1760
geo stinton,2,2,1759,1760,Geo. Stinton,pre_1760
geo verman,2,2,1702,1706,Geo. Verman,pre_1760
gho bray rectorem,2,2,1770,1771,Gho: Bray Rectorem,industrial_1760_1840
gio bray rectorem,2,2,1782,1783,Gio Bray Rectorem,industrial_1760_1840
gno rector scholarius officiarijs,2,2,1759,1760,"Gno Rector, Scholarius & Officiarijs.",pre_1760
gorrington,2,2,1721,1722,Gorrington.,pre_1760
greenway,2,2,1721,1722,Greenway,pre_1760
gren webber rectorum,2,2,1759,1760,Gren: Webber Rectorum,pre_1760
gu paynter rr,2,2,1705,1707,Gu: Paynter Rr,pre_1760
guindur,2,2,1721,1722,Guindur.,pre_1760
h richards a m burs junr,2,2,1771,1772,H. Richards. A.M. Burs & Junr,industrial_1760_1840
hasker exhibition,2,2,1883,1884,Hasker Exhibition,post_1840
hen richards a m,2,2,1770,1771,Hen: Richards A.M.,industrial_1760_1840
hend mountsteven moderat r,2,2,1759,1760,Hend: Mountsteven Moderat'r,pre_1760
henr richards b a,2,2,1767,1768,Henr. Richards B.A.,industrial_1760_1840
henricum richards a m burs sen,2,2,1772,1773,Henricum Richards A.M. Burs. Sen.,industrial_1760_1840
hic computus approbatus per presentes,2,2,1759,1760,Hic computus approbatus per presentes,pre_1760
hills pensioners,2,2,1702,1707,Hills pensioners,pre_1760
